player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_rushing_yards,model_version
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,105.0,15.43,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,110.0,13.79,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,115.0,12.23,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,120.0,10.79,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,125.0,9.51,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,130.0,8.33,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,135.0,7.33,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,140.0,6.38,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,145.0,5.56,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,150.0,4.82,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,155.0,4.15,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,160.0,3.55,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,165.0,3.03,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,170.0,2.58,ELITE,48.143,NFL_RUSHING_YARDS_V1
