player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,target_line,probability,probability_grade,projected_targets,target_projection_mean,target_projection_median,target_projection_floor,target_projection_ceiling,target_model_std,target_model_source,model_version
00-0033906,Alvin Kamara,NO,LV,RB,2026,REG,3,6,6,28.72,ELITE,4.474,4.486,4.0,2.0,7.0,1.818,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033906,Alvin Kamara,NO,LV,RB,2026,REG,3,7,7,13.15,ELITE,4.474,4.486,4.0,2.0,7.0,1.818,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033906,Alvin Kamara,NO,LV,RB,2026,REG,3,8,8,4.62,ELITE,4.474,4.486,4.0,2.0,7.0,1.818,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033906,Alvin Kamara,NO,LV,RB,2026,REG,3,9,9,1.29,ELITE,4.474,4.486,4.0,2.0,7.0,1.818,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033906,Alvin Kamara,NO,LV,RB,2026,REG,3,10,10,0.29,LOW,4.474,4.486,4.0,2.0,7.0,1.818,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0032104,Ameer Abdullah,JAX,NE,RB,2026,REG,3,1,1,92.89,ELITE,2.37,2.383,2.0,1.0,4.0,1.278,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0032104,Ameer Abdullah,JAX,NE,RB,2026,REG,3,2,2,75.19,ELITE,2.37,2.383,2.0,1.0,4.0,1.278,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0032104,Ameer Abdullah,JAX,NE,RB,2026,REG,3,3,3,45.95,ELITE,2.37,2.383,2.0,1.0,4.0,1.278,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0032104,Ameer Abdullah,JAX,NE,RB,2026,REG,3,4,4,18.66,ELITE,2.37,2.383,2.0,1.0,4.0,1.278,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0032104,Ameer Abdullah,JAX,NE,RB,2026,REG,3,5,5,4.77,ELITE,2.37,2.383,2.0,1.0,4.0,1.278,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0032104,Ameer Abdullah,JAX,NE,RB,2026,REG,3,6,6,0.78,HIGH,2.37,2.383,2.0,1.0,4.0,1.278,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0032104,Ameer Abdullah,JAX,NE,RB,2026,REG,3,7,7,0.06,VERY LOW,2.37,2.383,2.0,1.0,4.0,1.278,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
