player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_receiving_yards,model_version
00-0033110,Tyler Higbee,LAR,SF,TE,2026,REG,1,80.0,1.11,ELITE,32.35,NFL_RECEIVING_YARDS_V1
00-0033110,Tyler Higbee,LAR,SF,TE,2026,REG,1,90.0,0.3,LOW,32.35,NFL_RECEIVING_YARDS_V1
00-0033110,Tyler Higbee,LAR,SF,TE,2026,REG,1,100.0,0.05,VERY LOW,32.35,NFL_RECEIVING_YARDS_V1
00-0033217,Mo Alie-Cox,IND,BAL,TE,2026,REG,1,10.0,56.63,ELITE,13.065,NFL_RECEIVING_YARDS_V1
00-0033217,Mo Alie-Cox,IND,BAL,TE,2026,REG,1,20.0,25.72,ELITE,13.065,NFL_RECEIVING_YARDS_V1
00-0033217,Mo Alie-Cox,IND,BAL,TE,2026,REG,1,30.0,7.2,ELITE,13.065,NFL_RECEIVING_YARDS_V1
00-0033217,Mo Alie-Cox,IND,BAL,TE,2026,REG,1,40.0,1.07,ELITE,13.065,NFL_RECEIVING_YARDS_V1
00-0033217,Mo Alie-Cox,IND,BAL,TE,2026,REG,1,50.0,0.05,VERY LOW,13.065,NFL_RECEIVING_YARDS_V1
00-0033217,Mo Alie-Cox,IND,BAL,TE,2026,REG,1,60.0,0.0,VERY LOW,13.065,NFL_RECEIVING_YARDS_V1
00-0033217,Mo Alie-Cox,IND,BAL,TE,2026,REG,1,70.0,0.0,VERY LOW,13.065,NFL_RECEIVING_YARDS_V1
00-0033217,Mo Alie-Cox,IND,BAL,TE,2026,REG,1,80.0,0.0,VERY LOW,13.065,NFL_RECEIVING_YARDS_V1
00-0033217,Mo Alie-Cox,IND,BAL,TE,2026,REG,1,90.0,0.0,VERY LOW,13.065,NFL_RECEIVING_YARDS_V1
00-0033217,Mo Alie-Cox,IND,BAL,TE,2026,REG,1,100.0,0.0,VERY LOW,13.065,NFL_RECEIVING_YARDS_V1
00-0033246,Johnny Mundt,PHI,WAS,TE,2026,REG,1,10.0,65.09,ELITE,13.779,NFL_RECEIVING_YARDS_V1
00-0033246,Johnny Mundt,PHI,WAS,TE,2026,REG,1,20.0,23.48,ELITE,13.779,NFL_RECEIVING_YARDS_V1
00-0033246,Johnny Mundt,PHI,WAS,TE,2026,REG,1,30.0,3.4,ELITE,13.779,NFL_RECEIVING_YARDS_V1
00-0033246,Johnny Mundt,PHI,WAS,TE,2026,REG,1,40.0,0.17,VERY LOW,13.779,NFL_RECEIVING_YARDS_V1
00-0033246,Johnny Mundt,PHI,WAS,TE,2026,REG,1,50.0,0.0,VERY LOW,13.779,NFL_RECEIVING_YARDS_V1
00-0033246,Johnny Mundt,PHI,WAS,TE,2026,REG,1,60.0,0.0,VERY LOW,13.779,NFL_RECEIVING_YARDS_V1
