player_key,player_id,player_name,team,opponent,position,season,season_type,week,ladder_yards,ladder_line,probability_pct,probability,grade,projected_rushing_yards,projected_carries,projected_ypc,matchup_score,data_quality_score
ameer abdullah__JAX,00-0032104,Ameer Abdullah,JAX,CLE,RB,2026,REG,1,50,50,6.5,6.5,VERY LOW,16.9,3.9,4.43,100.5,65.0
ameer abdullah__JAX,00-0032104,Ameer Abdullah,JAX,CLE,RB,2026,REG,1,60,60,3.6,3.6,VERY LOW,16.9,3.9,4.43,100.5,65.0
ameer abdullah__JAX,00-0032104,Ameer Abdullah,JAX,CLE,RB,2026,REG,1,70,70,2.0,2.0,VERY LOW,16.9,3.9,4.43,100.5,65.0
ameer abdullah__JAX,00-0032104,Ameer Abdullah,JAX,CLE,RB,2026,REG,1,80,80,1.0,1.0,VERY LOW,16.9,3.9,4.43,100.5,65.0
ameer abdullah__JAX,00-0032104,Ameer Abdullah,JAX,CLE,RB,2026,REG,1,90,90,0.5,0.5,VERY LOW,16.9,3.9,4.43,100.5,65.0
ameer abdullah__JAX,00-0032104,Ameer Abdullah,JAX,CLE,RB,2026,REG,1,100,100,0.3,0.3,VERY LOW,16.9,3.9,4.43,100.5,65.0
amon ra st brown__DET,00-0036963,Amon-Ra St. Brown,DET,NO,WR,2026,REG,1,10,10,17.2,17.2,VERY LOW,5.0,1.2,4.13,102.4,50.0
amon ra st brown__DET,00-0036963,Amon-Ra St. Brown,DET,NO,WR,2026,REG,1,20,20,3.4,3.4,VERY LOW,5.0,1.2,4.13,102.4,50.0
amon ra st brown__DET,00-0036963,Amon-Ra St. Brown,DET,NO,WR,2026,REG,1,30,30,0.6,0.6,VERY LOW,5.0,1.2,4.13,102.4,50.0
amon ra st brown__DET,00-0036963,Amon-Ra St. Brown,DET,NO,WR,2026,REG,1,40,40,0.2,0.2,VERY LOW,5.0,1.2,4.13,102.4,50.0
amon ra st brown__DET,00-0036963,Amon-Ra St. Brown,DET,NO,WR,2026,REG,1,50,50,0.0,0.0,VERY LOW,5.0,1.2,4.13,102.4,50.0
amon ra st brown__DET,00-0036963,Amon-Ra St. Brown,DET,NO,WR,2026,REG,1,60,60,0.0,0.0,VERY LOW,5.0,1.2,4.13,102.4,50.0
amon ra st brown__DET,00-0036963,Amon-Ra St. Brown,DET,NO,WR,2026,REG,1,70,70,0.0,0.0,VERY LOW,5.0,1.2,4.13,102.4,50.0
amon ra st brown__DET,00-0036963,Amon-Ra St. Brown,DET,NO,WR,2026,REG,1,80,80,0.0,0.0,VERY LOW,5.0,1.2,4.13,102.4,50.0
amon ra st brown__DET,00-0036963,Amon-Ra St. Brown,DET,NO,WR,2026,REG,1,90,90,0.0,0.0,VERY LOW,5.0,1.2,4.13,102.4,50.0
amon ra st brown__DET,00-0036963,Amon-Ra St. Brown,DET,NO,WR,2026,REG,1,100,100,0.0,0.0,VERY LOW,5.0,1.2,4.13,102.4,50.0
andrei iosivas__CIN,00-0038619,Andrei Iosivas,CIN,TB,WR,2026,REG,1,10,10,16.7,16.7,VERY LOW,5.2,1.0,5.53,93.2,31.2
andrei iosivas__CIN,00-0038619,Andrei Iosivas,CIN,TB,WR,2026,REG,1,20,20,1.8,1.8,VERY LOW,5.2,1.0,5.53,93.2,31.2
andrei iosivas__CIN,00-0038619,Andrei Iosivas,CIN,TB,WR,2026,REG,1,30,30,0.2,0.2,VERY LOW,5.2,1.0,5.53,93.2,31.2
andrei iosivas__CIN,00-0038619,Andrei Iosivas,CIN,TB,WR,2026,REG,1,40,40,0.0,0.0,VERY LOW,5.2,1.0,5.53,93.2,31.2
andrei iosivas__CIN,00-0038619,Andrei Iosivas,CIN,TB,WR,2026,REG,1,50,50,0.0,0.0,VERY LOW,5.2,1.0,5.53,93.2,31.2
andrei iosivas__CIN,00-0038619,Andrei Iosivas,CIN,TB,WR,2026,REG,1,60,60,0.0,0.0,VERY LOW,5.2,1.0,5.53,93.2,31.2
andrei iosivas__CIN,00-0038619,Andrei Iosivas,CIN,TB,WR,2026,REG,1,70,70,0.0,0.0,VERY LOW,5.2,1.0,5.53,93.2,31.2
andrei iosivas__CIN,00-0038619,Andrei Iosivas,CIN,TB,WR,2026,REG,1,80,80,0.0,0.0,VERY LOW,5.2,1.0,5.53,93.2,31.2
andrei iosivas__CIN,00-0038619,Andrei Iosivas,CIN,TB,WR,2026,REG,1,90,90,0.0,0.0,VERY LOW,5.2,1.0,5.53,93.2,31.2
andrei iosivas__CIN,00-0038619,Andrei Iosivas,CIN,TB,WR,2026,REG,1,100,100,0.0,0.0,VERY LOW,5.2,1.0,5.53,93.2,31.2
andrew beck__NYJ,00-0034959,Andrew Beck,NYJ,TEN,RB,2026,REG,1,10,10,75.1,75.1,HIGH,18.6,6.1,3.57,97.7,35.0
