Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
85,2026-07-18,824169,2026-07-18T20:10:00Z,Final,Daikin Park,Baltimore Orioles @ Houston Astros,Away,641933,Tyler O'Neill,Baltimore Orioles,Houston Astros,RF,R,Yes,6.0,60,177,156,31,6,0,6,21,13,19,2,51,0.199,0.294,0.353,0.647,8,18,17,5,3,0.294,0.1667,15,36,31,8,4,0.258,0.1111,0.0339,0.0331,4.2,8,4,26.0,0.31,30.8,Very recent HR,681293,Spencer Arrighetti,R,RHB vs RHP,16,16,87.0,4.34,1.31,12,1.24,9.0,4.97,1.35,1.022,0.985,0.975,0.98,13.2,16.87,79.5,38.1,D+,Good
86,2026-07-18,823523,2026-07-19T00:08:00Z,Postponed,Yankee Stadium,Los Angeles Dodgers @ New York Yankees,Home,642708,Amed Rosario,New York Yankees,Los Angeles Dodgers,3B,R,No,,57,166,152,36,4,1,9,20,27,11,0,40,0.237,0.283,0.454,0.737,7,12,11,1,0,0.091,0.0,18,49,45,9,3,0.2,0.0612,0.0542,0.0449,3.93,12,8,16.9,0.71,71.1,Recently homered,686218,Emmet Sheehan,R,RHB vs RHP,17,17,82.1,4.81,1.24,15,1.64,10.17,2.84,0.954,1.086,0.985,1.0,1.0,16.52,16.84,67.8,37.7,D+,Lineup unconfirmed
87,2026-07-18,824412,2026-07-18T23:10:00Z,In Progress,Progressive Field,Pittsburgh Pirates @ Cleveland Guardians,Away,668804,Bryan Reynolds,Pittsburgh Pirates,Cleveland Guardians,LF,S,Yes,3.0,99,429,357,102,24,2,14,70,59,62,8,97,0.286,0.401,0.482,0.883,9,37,29,9,2,0.31,0.0541,24,104,88,26,4,0.295,0.0385,0.0326,0.0325,4.55,15,5,25.5,0.59,58.8,Recently homered,671106,Logan Allen,L,Switch vs LHP,2,1,7.1,2.45,2.05,0,0.0,12.27,4.91,1.179,1.0,1.035,1.0,1.0,13.96,16.81,95.0,43.7,C-,Good
88,2026-07-18,825059,2026-07-18T20:10:00Z,Final,Chase Field,St. Louis Cardinals @ Arizona Diamondbacks,Away,699625,Jimmy Crooks,St. Louis Cardinals,Arizona Diamondbacks,C,L,Yes,9.0,27,75,65,12,2,0,3,4,9,7,3,24,0.185,0.293,0.354,0.647,6,13,10,3,2,0.3,0.1538,15,37,32,6,2,0.188,0.0541,0.04,0.0351,3.88,0,0,21.7,0.0,0.0,Very recent HR,694297,Brandon Pfaadt,R,LHB vs RHP,17,7,59.0,4.58,1.31,8,1.22,6.71,2.75,1.32,1.016,1.025,0.975,0.98,12.94,16.73,72.3,36.9,D+,Small season sample
89,2026-07-18,824008,2026-07-19T02:07:00Z,In Progress,Angel Stadium,Detroit Tigers @ Los Angeles Angels,Away,681481,Kerry Carpenter,Detroit Tigers,Los Angeles Angels,RF,L,Yes,6.0,74,233,205,45,5,2,13,26,36,18,5,72,0.22,0.294,0.454,0.748,8,19,16,1,0,0.062,0.0,23,70,63,12,3,0.19,0.0429,0.0558,0.0477,4.2,26,11,15.8,1.65,164.9,Above normal drought,680570,Grayson Rodriguez,R,LHB vs RHP,7,7,31.0,7.55,1.74,4,1.16,6.97,4.65,0.839,1.004,1.025,1.0,1.035,18.56,16.72,86.2,44.4,C-,Good
90,2026-07-18,824008,2026-07-19T02:07:00Z,In Progress,Angel Stadium,Detroit Tigers @ Los Angeles Angels,Home,666176,Jo Adell,Los Angeles Angels,Detroit Tigers,RF,R,Yes,5.0,97,403,376,91,15,1,13,42,53,12,13,89,0.242,0.288,0.391,0.679,8,31,29,8,2,0.276,0.0645,21,85,79,17,3,0.215,0.0353,0.0323,0.0322,4.29,17,5,28.9,0.59,58.8,Recently homered,669373,Tarik Skubal,L,RHB vs LHP,13,13,75.2,3.09,0.95,10,1.19,10.59,1.31,1.238,1.014,1.025,1.0,1.0,13.1,16.61,95.0,40.3,D+,Good
91,2026-07-18,824738,2026-07-18T20:10:00Z,Final,Fenway Park,Tampa Bay Rays @ Boston Red Sox,Home,655316,Andruw Monasterio,Boston Red Sox,Tampa Bay Rays,SS,R,Yes,7.0,59,173,160,38,14,1,5,20,16,12,0,38,0.238,0.291,0.431,0.722,6,24,19,7,2,0.368,0.0833,19,55,49,12,3,0.245,0.0545,0.0289,0.0302,4.02,5,2,32.0,0.16,15.6,Very recent HR,693855,Ian Seymour,L,RHB vs LHP,34,7,67.2,4.79,1.17,12,1.6,10.51,3.46,1.35,1.077,1.025,1.0,0.98,11.59,16.57,80.8,38.9,D+,Good
92,2026-07-18,823523,2026-07-19T00:08:00Z,Postponed,Yankee Stadium,Los Angeles Dodgers @ New York Yankees,Away,571970,Max Muncy,Los Angeles Dodgers,New York Yankees,3B,L,No,,90,340,296,77,14,1,18,55,42,41,3,79,0.26,0.356,0.497,0.853,7,25,21,4,1,0.19,0.04,21,81,73,18,2,0.247,0.0247,0.0529,0.0475,4.15,0,0,16.4,0.0,0.0,Very recent HR,677960,Ryan Weathers,L,LHB vs LHP,18,18,97.2,4.15,1.24,16,1.47,10.14,2.49,0.879,1.059,0.985,1.0,0.98,18.28,16.55,82.8,41.1,D+,Lineup unconfirmed
93,2026-07-18,823116,2026-07-19T00:08:00Z,In Progress,T-Mobile Park,San Francisco Giants @ Seattle Mariners,Away,805811,Bryce Eldridge,San Francisco Giants,Seattle Mariners,DH,L,Yes,2.0,56,226,196,54,13,0,9,29,22,29,0,55,0.276,0.367,0.48,0.847,10,41,35,9,2,0.257,0.0488,23,95,83,18,3,0.217,0.0316,0.0398,0.0371,4.65,3,1,21.8,0.14,13.8,Very recent HR,693433,Bryan Woo,R,LHB vs RHP,19,19,110.1,4.16,1.09,12,0.98,8.89,1.79,1.042,0.981,1.025,1.0,0.98,16.13,16.53,87.7,41.7,D+,Good
94,2026-07-18,824979,2026-07-19T02:05:00Z,In Progress,Sutter Health Park,Washington Nationals @ Athletics,Away,677588,José Tena,Washington Nationals,Athletics,DH,L,Yes,3.0,72,187,171,42,10,2,5,24,20,14,2,56,0.246,0.31,0.415,0.725,6,14,12,6,1,0.5,0.0714,17,45,39,13,2,0.333,0.0444,0.0267,0.0288,4.55,8,4,34.2,0.23,23.4,Very recent HR,669372,J.T. Ginn,R,LHB vs RHP,22,19,103.1,3.66,1.25,13,1.13,8.19,4.01,1.338,1.005,1.025,1.0,0.98,12.45,16.51,81.0,38.9,D+,Good
95,2026-07-18,824008,2026-07-19T02:07:00Z,In Progress,Angel Stadium,Detroit Tigers @ Los Angeles Angels,Home,642350,Jose Siri,Los Angeles Angels,Detroit Tigers,CF,R,Yes,8.0,45,97,87,23,3,0,5,18,18,6,1,27,0.264,0.316,0.471,0.787,7,11,11,3,0,0.273,0.0,18,37,35,8,2,0.229,0.0541,0.0515,0.0407,3.92,12,8,17.4,0.69,69.0,Recently homered,669373,Tarik Skubal,L,RHB vs LHP,13,13,75.2,3.09,0.95,10,1.19,10.59,1.31,1.059,1.014,1.025,1.0,1.0,15.04,16.46,73.9,38.7,D+,Good
96,2026-07-18,824738,2026-07-18T20:10:00Z,Final,Fenway Park,Tampa Bay Rays @ Boston Red Sox,Away,676356,Jonny DeLuca,Tampa Bay Rays,Boston Red Sox,RF,R,Yes,2.0,60,189,178,46,14,0,6,23,28,9,0,39,0.258,0.294,0.438,0.732,8,27,27,6,1,0.222,0.037,19,64,59,14,4,0.237,0.0625,0.0317,0.0318,4.65,0,0,29.7,0.0,0.0,Very recent HR,663776,Patrick Sandoval,L,RHB vs LHP,2,2,9.1,4.82,1.71,1,0.96,9.64,1.93,1.189,0.997,1.025,1.0,0.98,13.97,16.45,82.6,39.1,D+,Good
97,2026-07-18,824331,2026-07-18T19:10:00Z,Final,Coors Field,Cincinnati Reds @ Colorado Rockies,Away,682622,Noelvi Marte,Cincinnati Reds,Colorado Rockies,RF,R,Yes,6.0,43,141,132,26,6,0,6,16,13,9,0,35,0.197,0.248,0.379,0.627,8,24,23,4,1,0.174,0.0417,21,74,69,13,3,0.188,0.0405,0.0426,0.0377,4.2,15,6,22.0,0.68,68.2,Recently homered,608372,Tomoyuki Sugano,R,RHB vs RHP,17,17,90.2,4.76,1.29,18,1.79,5.06,2.28,1.037,1.11,0.985,0.975,1.0,14.91,16.37,80.0,37.4,D+,Good
98,2026-07-18,824899,2026-07-18T20:10:00Z,Final,Truist Park,Texas Rangers @ Atlanta Braves,Away,543309,Kyle Higashioka,Texas Rangers,Atlanta Braves,C,R,Yes,9.0,56,181,161,35,3,0,7,20,17,18,2,46,0.217,0.304,0.366,0.67,6,17,15,4,2,0.267,0.1176,14,49,42,7,2,0.167,0.0408,0.0387,0.036,3.88,2,1,23.0,0.09,8.7,Very recent HR,702566,Owen Murphy,R,RHB vs RHP,3,1,6.2,4.05,1.2,1,1.35,8.1,2.7,1.288,1.004,0.985,1.0,0.98,13.26,16.34,80.8,37.8,D+,Good
99,2026-07-18,825059,2026-07-18T20:10:00Z,Final,Chase Field,St. Louis Cardinals @ Arizona Diamondbacks,Home,606466,Ketel Marte,Arizona Diamondbacks,St. Louis Cardinals,2B,S,Yes,1.0,94,414,379,98,19,3,17,52,55,30,2,60,0.259,0.314,0.459,0.773,10,45,42,8,0,0.19,0.0,24,105,96,25,6,0.26,0.0571,0.0411,0.039,4.69,54,13,22.3,2.42,242.2,Very long drought,669160,Dustin May,R,Switch vs RHP,19,19,98.0,4.78,1.32,7,0.64,8.72,2.94,0.941,0.926,1.035,1.0,1.06,17.03,16.33,95.0,48.9,C,Good
100,2026-07-18,822790,2026-07-18T19:07:00Z,Final,Rogers Centre,Chicago White Sox @ Toronto Blue Jays,Away,803011,Sam Antonacci,Chicago White Sox,Toronto Blue Jays,LF,L,Yes,1.0,77,313,270,77,12,2,7,50,29,22,18,48,0.285,0.376,0.422,0.798,8,35,32,8,2,0.25,0.0571,22,95,85,25,4,0.294,0.0421,0.0224,0.025,4.75,4,1,38.6,0.1,10.4,Very recent HR,669456,Shane Bieber,R,LHB vs RHP,5,5,23.2,5.7,1.73,7,2.66,7.23,4.56,1.35,1.083,1.025,1.0,0.98,11.35,16.3,94.0,41.5,D+,Good
