Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
84,2026-07-17,824655,2026-07-18T00:05:00Z,Pre-Game,Wrigley Field,Minnesota Twins @ Chicago Cubs,Home,621020,Dansby Swanson,Chicago Cubs,Minnesota Twins,SS,R,Yes,9.0,92,356,313,66,11,2,16,59,58,37,1,84,0.211,0.293,0.412,0.705,8,30,30,7,0,0.233,0.0,21,84,80,25,8,0.312,0.0952,0.0449,0.0417,3.82,32,9,19.6,1.64,163.6,Above normal drought,641927,Bailey Ober,R,RHB vs RHP,13,13,71.2,4.4,1.19,13,1.63,6.4,2.39,1.01,1.085,0.985,1.0,1.035,15.01,16.65,95.0,44.8,F,Good
85,2026-07-17,824414,2026-07-17T23:10:00Z,Postponed,Progressive Field,Pittsburgh Pirates @ Cleveland Guardians,Away,668804,Bryan Reynolds,Pittsburgh Pirates,Cleveland Guardians,LF,S,No,,97,422,350,99,22,2,14,68,59,62,8,94,0.283,0.4,0.477,0.877,8,35,27,8,2,0.296,0.0571,22,97,81,23,4,0.284,0.0412,0.0332,0.0329,4.23,8,3,25.0,0.32,32.0,Very recent HR,668909,Gavin Williams,R,Switch vs RHP,19,19,113.1,3.81,1.15,17,1.35,10.64,2.94,1.207,1.04,1.035,1.0,0.98,13.2,16.57,84.8,41.8,F,Lineup unconfirmed
86,2026-07-17,824414,2026-07-17T23:10:00Z,Postponed,Progressive Field,Pittsburgh Pirates @ Cleveland Guardians,Home,656555,Rhys Hoskins,Cleveland Guardians,Pittsburgh Pirates,1B,R,No,,76,263,214,38,13,0,9,28,31,42,3,83,0.178,0.316,0.364,0.68,5,14,13,2,2,0.154,0.1429,18,58,49,8,3,0.163,0.0517,0.0342,0.0335,3.99,4,1,23.8,0.17,16.8,Very recent HR,683003,Jared Jones,R,RHB vs RHP,8,8,35.0,4.37,1.14,5,1.29,10.03,2.83,1.338,1.015,0.985,1.0,0.98,12.72,16.42,75.4,37.3,F,Lineup unconfirmed
87,2026-07-17,823766,2026-07-17T23:40:00Z,Pre-Game,American Family Field,Miami Marlins @ Milwaukee Brewers,Away,691788,Joe Mack,Miami Marlins,Milwaukee Brewers,C,L,Yes,8.0,53,172,155,38,6,0,7,24,23,12,2,40,0.245,0.308,0.419,0.727,7,22,19,4,1,0.211,0.0455,20,60,55,12,4,0.218,0.0667,0.0407,0.0371,3.98,14,6,22.1,0.63,63.2,Recently homered,701656,Logan Henderson,R,LHB vs RHP,6,6,28.1,3.18,0.99,2,0.64,10.8,2.22,1.193,0.97,1.025,1.0,1.0,13.98,16.41,81.1,38.8,F,Good
88,2026-07-17,824655,2026-07-18T00:05:00Z,Pre-Game,Wrigley Field,Minnesota Twins @ Chicago Cubs,Away,663616,Trevor Larnach,Minnesota Twins,Chicago Cubs,LF,L,Yes,1.0,80,291,253,73,18,1,7,44,32,34,3,50,0.289,0.379,0.451,0.83,7,26,23,7,2,0.304,0.0769,20,79,71,25,3,0.352,0.038,0.0241,0.0264,4.75,0,0,36.1,0.0,0.0,Very recent HR,607067,Colin Rea,R,LHB vs RHP,19,15,94.2,4.75,1.45,14,1.33,6.65,3.42,1.343,1.037,1.025,1.0,0.98,11.92,16.35,91.1,41.6,F,Good
89,2026-07-17,822789,2026-07-17T23:15:00Z,Warmup,Rogers Centre,Chicago White Sox @ Toronto Blue Jays,Home,543807,George Springer,Toronto Blue Jays,Chicago White Sox,DH,R,Yes,4.0,66,293,257,56,11,1,9,31,22,29,3,59,0.218,0.303,0.374,0.677,3,14,13,2,1,0.154,0.0714,14,63,59,14,2,0.237,0.0317,0.0307,0.0311,4.42,9,2,28.6,0.32,31.5,Very recent HR,641743,Anthony Kay,L,RHB vs LHP,19,17,89.1,4.23,1.38,12,1.21,7.15,3.53,1.244,1.018,1.025,1.0,0.98,13.03,16.33,90.0,39.1,F,Good
90,2026-07-17,824901,2026-07-17T23:15:00Z,Warmup,Truist Park,Texas Rangers @ Atlanta Braves,Away,543309,Kyle Higashioka,Texas Rangers,Atlanta Braves,C,R,No,,54,177,159,35,3,0,7,19,17,17,1,46,0.22,0.299,0.371,0.67,5,13,13,4,2,0.308,0.1538,14,49,44,8,2,0.182,0.0408,0.0395,0.0365,4.05,0,0,22.7,0.0,0.0,Very recent HR,519242,Chris Sale,L,RHB vs LHP,17,17,98.0,2.2,1.11,8,0.73,10.74,2.3,1.244,0.941,1.025,1.0,0.98,13.98,16.28,68.6,35.9,F,Lineup unconfirmed
91,2026-07-17,824009,2026-07-18T01:38:00Z,Pre-Game,Angel Stadium,Detroit Tigers @ Los Angeles Angels,Home,642350,Jose Siri,Los Angeles Angels,Detroit Tigers,CF,R,No,,44,96,86,22,3,0,5,18,18,6,1,27,0.256,0.309,0.465,0.774,7,11,11,2,0,0.182,0.0,18,38,36,7,2,0.194,0.0526,0.0521,0.0409,3.99,11,7,17.2,0.64,64.0,Recently homered,675512,Troy Melton,R,RHB vs RHP,8,8,49.1,1.82,0.81,7,1.28,7.48,2.01,1.051,1.02,0.985,1.0,1.0,15.36,16.17,61.9,36.4,F,Lineup unconfirmed
92,2026-07-17,824090,2026-07-18T00:10:00Z,Pre-Game,Kauffman Stadium,San Diego Padres @ Kansas City Royals,Home,686475,Tyler Tolbert,Kansas City Royals,San Diego Padres,2B,R,No,,34,60,54,20,1,0,2,17,5,4,0,11,0.37,0.407,0.5,0.907,5,19,19,13,2,0.684,0.1053,13,41,37,16,2,0.432,0.0488,0.0333,0.0324,4.25,6,2,27.0,0.22,22.2,Very recent HR,650633,Michael King,R,RHB vs RHP,19,19,108.1,3.41,1.15,10,0.83,7.64,3.57,1.35,0.957,0.985,1.0,0.98,13.08,16.1,59.6,38.0,F,Small season sample; Lineup unconfirmed
93,2026-07-17,823524,2026-07-17T23:05:00Z,Warmup,Yankee Stadium,Los Angeles Dodgers @ New York Yankees,Home,665862,Jazz Chisholm Jr.,New York Yankees,Los Angeles Dodgers,2B,L,Yes,6.0,91,360,319,71,12,2,13,47,37,37,1,105,0.223,0.303,0.395,0.698,8,30,26,6,1,0.231,0.0333,22,76,70,14,3,0.2,0.0395,0.0361,0.0351,4.14,8,2,24.5,0.33,32.6,Very recent HR,808963,Roki Sasaki,R,LHB vs RHP,16,16,81.0,5.33,1.36,19,2.11,8.89,3.67,1.012,1.162,1.025,1.0,0.98,13.74,16.06,95.0,39.7,F,Good
94,2026-07-17,822789,2026-07-17T23:15:00Z,Warmup,Rogers Centre,Chicago White Sox @ Toronto Blue Jays,Away,545341,Randal Grichuk,Chicago White Sox,Toronto Blue Jays,DH,R,No,,62,144,137,34,10,0,9,21,23,5,1,33,0.248,0.278,0.518,0.796,6,18,18,3,0,0.167,0.0,17,45,44,9,3,0.205,0.0667,0.0625,0.0486,3.99,26,10,15.2,1.71,170.8,Above normal drought,693686,Spencer Miles,R,RHB vs RHP,26,3,60.0,2.85,1.1,4,0.6,8.55,2.85,0.924,0.931,0.985,1.0,1.035,18.04,15.97,65.9,41.3,F,Lineup unconfirmed
95,2026-07-17,825060,2026-07-18T01:40:00Z,Pre-Game,Chase Field,St. Louis Cardinals @ Arizona Diamondbacks,Away,676475,Alec Burleson,St. Louis Cardinals,Arizona Diamondbacks,1B,L,Yes,3.0,94,398,359,98,23,1,15,49,67,32,4,60,0.273,0.337,0.468,0.805,10,35,33,8,1,0.242,0.0286,23,87,78,18,2,0.231,0.023,0.0377,0.0364,4.55,13,4,23.9,0.54,54.3,Recently homered,518876,Merrill Kelly,R,LHB vs RHP,16,16,93.2,5.38,1.51,20,1.92,5.67,3.65,0.887,1.131,1.025,1.0,1.0,15.51,15.92,95.0,41.1,F,Good
96,2026-07-17,823524,2026-07-17T23:05:00Z,Warmup,Yankee Stadium,Los Angeles Dodgers @ New York Yankees,Away,605141,Mookie Betts,Los Angeles Dodgers,New York Yankees,SS,R,Yes,4.0,60,259,238,56,10,0,11,35,31,19,1,29,0.235,0.293,0.416,0.709,7,27,25,4,0,0.16,0.0,20,86,80,24,4,0.3,0.0465,0.0425,0.0392,4.48,47,12,21.6,2.17,217.2,Very long drought,543037,Gerrit Cole,R,RHB vs RHP,9,9,49.0,4.04,1.2,8,1.47,8.63,2.02,0.891,1.041,0.985,1.0,1.06,16.38,15.91,89.4,45.4,F,Good
97,2026-07-17,824414,2026-07-17T23:10:00Z,Postponed,Progressive Field,Pittsburgh Pirates @ Cleveland Guardians,Away,680779,Henry Davis,Pittsburgh Pirates,Cleveland Guardians,C,R,No,,62,188,163,27,5,0,8,24,27,18,5,38,0.166,0.267,0.344,0.611,7,21,16,5,1,0.312,0.0476,15,38,33,9,3,0.273,0.0789,0.0426,0.0384,3.87,0,0,20.4,0.0,0.0,Very recent HR,668909,Gavin Williams,R,RHB vs RHP,19,19,113.1,3.81,1.15,17,1.35,10.64,2.94,1.206,1.04,0.985,0.94,0.98,14.08,15.89,68.5,35.0,F,Lineup unconfirmed
98,2026-07-17,824009,2026-07-18T01:38:00Z,Pre-Game,Angel Stadium,Detroit Tigers @ Los Angeles Angels,Home,666176,Jo Adell,Los Angeles Angels,Detroit Tigers,RF,R,Yes,6.0,96,399,372,91,15,1,13,42,53,12,13,87,0.245,0.291,0.395,0.686,8,30,27,8,2,0.296,0.0667,21,85,79,17,3,0.215,0.0353,0.0326,0.0324,4.14,13,4,28.6,0.45,45.4,Recently homered,675512,Troy Melton,R,RHB vs RHP,8,8,49.1,1.82,0.81,7,1.28,7.48,2.01,1.248,1.02,0.985,1.0,1.0,12.76,15.8,95.0,39.1,F,Good
99,2026-07-17,824414,2026-07-17T23:10:00Z,Postponed,Progressive Field,Pittsburgh Pirates @ Cleveland Guardians,Home,681807,David Fry,Cleveland Guardians,Pittsburgh Pirates,RF,R,No,,63,149,128,26,4,0,6,16,13,21,0,46,0.203,0.315,0.375,0.69,5,8,7,0,0,0.0,0.0,18,34,30,4,3,0.133,0.0882,0.0403,0.0366,3.99,10,6,21.3,0.47,46.9,Recently homered,683003,Jared Jones,R,RHB vs RHP,8,8,35.0,4.37,1.14,5,1.29,10.03,2.83,1.153,1.015,0.985,1.0,1.0,13.82,15.8,65.4,35.0,F,Lineup unconfirmed
100,2026-07-17,824766,2026-07-17T17:35:00Z,Final,Fenway Park,Tampa Bay Rays @ Boston Red Sox,Home,655316,Andruw Monasterio,Boston Red Sox,Tampa Bay Rays,SS,R,No,,58,169,157,36,12,1,5,18,16,11,0,38,0.229,0.28,0.414,0.694,6,24,20,6,2,0.3,0.0833,19,54,49,10,3,0.204,0.0556,0.0296,0.0306,3.93,2,1,31.4,0.06,6.4,Very recent HR,643377,Griffin Jax,R,RHB vs RHP,26,15,75.0,4.08,1.27,13,1.56,9.24,3.12,1.35,1.074,0.985,1.0,0.98,11.49,15.79,68.4,35.5,F,Lineup unconfirmed
